label,provider,model,family,tier,stage,n,mean,min,max,field_mean,relation_mean,vu_mean,elapsed_s,n_calls,total_cost,error
phi-4-mini,huggingface,huggingface/microsoft/Phi-4-mini-instruct,Microsoft Phi,~4B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
llama-3.2-3b,huggingface,huggingface/meta-llama/Llama-3.2-3B-Instruct,Meta Llama,~3B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
llama-3.1-8b,huggingface,huggingface/meta-llama/Llama-3.1-8B-Instruct,Meta Llama,~8B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
deepseek-r1-distill-llama-8b,huggingface,huggingface/deepseek-ai/DeepSeek-R1-Distill-Llama-8B,DeepSeek (R1 distill),~8B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
qwen-8b,huggingface,huggingface/Qwen/Qwen2.5-7B-Instruct,Alibaba Qwen,~7B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
gpt-oss-20b,huggingface,huggingface/openai/gpt-oss-20b,OpenAI (open weights),~20B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
mistral-small-24b,huggingface,huggingface/mistralai/Mistral-Small-3.2-24B-Instruct-2506,Mistral AI,~24B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
llama-3.3-70b,huggingface,huggingface/meta-llama/Llama-3.3-70B-Instruct,Meta Llama,~70B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
deepseek-r1-distill-llama-70b,huggingface,huggingface/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,DeepSeek (R1 distill),~70B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
gpt-oss-120b,huggingface,huggingface/openai/gpt-oss-120b,OpenAI (open weights),~120B,skipped,,,,,,,,,,,missing API key: set HUGGINGFACE_API_KEY in .env (a Hugging Face access token with Inference Providers access -- see https://huggingface.co/settings/tokens)
